Dominant_Topic,Topic_Perc_Contrib,Text
4.0,0.23,"I used this app for the first time last Friday and requested to pick up the next day. At first I was very worried of what would happen because I have always gone to the laundromat... well,1) this saves so much time!2) everything was folded so nice!3) everything felt super soft!4) everything never looked so good!The pricing was very reasonable. Why would other people complain about the price when your paying for convenience?This was my first time using it and I can't wait to send my laundry again in another week!It saves you sitting in the laundry for 2 hours and also saves money on detergent and it's delivered straight to your door!Download the app everyone! UPDATED REVIEW****Since my last review I have ordered it 3 times and they are still great! One day they picked this up at 8pm and it was back folded and clean in my hand at 8am the next day and I had a big heavy bag!Everyone should use this service! I no longer have to wait at the laundromat or even spend on detergent!"
1.0,0.2239,"Lost items, slow customer service (only available by email - the phones don't really work), and it's a hassle to get a reimbursement when you're missing clothes if you get a reimbursement at all. Not worth the steep price.I won't be using Cleanly again."
1.0,0.2306,"BEYOND TERRIBLE SERVICE. I'm not one to write reviews but I felt it necessary. This is the 5th time now I've had an issue with Cleanly services. Not once have they ever accommodated after each issue/damage. Customer service is pathetic. 1. Ripped and torn items (shirts, sheets)2. White duvet cover stained dark blue 3. Whites stained gray color 4. Requested and paid for overnight service and customer service replied 1 day later saying their driver was unable to complete the drop off and ultimately dropped off 3 days late - still charged for overnight fees.5. Most recently I received my white curtains heavily stained and ultimately had to throw them out (which I bought for $65) - at this time I was leaving on vacation for a week and did not report it until I returned. Customer service responded by saying ""since you reported after 7 day window we cannot do anything"" Needless to say, I will no longer use their services. They are unreliable and will end up costing you more money to replace your items that they damage. I recommend switching to ""FlyCleaners!!!!!"""
5.0,0.3526,"This was my first time using Cleanly. I decided to give it a try despite so many negative reviews online - that was mistake. I handed over 1 full size duvet cover, 1 full size fitted sheet and 2 standard pillow cases. The next day I received a text saying that my full size sheets did not fit in the washing machine and that they could not be hung dry. Therefore the two pillow cases would be washed and the sheets would be returned ""uncleaned.....""Huh? How are the washers  too small for standard full size sheets? The rinky-dink washers down my block can fit full sheets. Why could they not be hung dry? Again, they are standard full size sheets- not queen or King. Why accept full size sheets if you cannot actually wash or dry them?Lastly, I do not believe the pillow cases were even washed-- and ALL of the bedding came back crumpled, even the pieces that were not washed. This was an enormous waste of time. Just go through your local laundromat"
5.0,0.2276,Used cleanly again and they lost my entire bag of clothes. I will only get 10x what it cost to clean the clothes regardless of what it costs to replace them. Don't even know why I gave them a second chance.
0.0,0.2682,"****Updated review****I've attached 2 screenshots. Over 1 year, the price for washing bed sheets has went up $8 to $11, which is 37.5% mark up..... if you do the math. Their wash & fold price has also gone up 10 cent/lb now $1.6/lb. I literally just sent my laundry out 2 weeks ago in December 2018 and I can assure you it was $1.5/lb. It would be nice if customers were noticed of those price change. My #1 problem with cleanly is that they kept charging me extra, claiming the $2 bed sheets I got from Amazon deserves ""superior"" treatments. And each time I have to contact customer service to correct it. But how many people don't check their invoice or just don't give a fuck? I'm not even going to mention how many times cleanly misplaced my laundry items. Actually, the first time I used cleanly in 2017 summer, they lost my bf's brooks brother shirts! Yet I still decided to stick with cleanly. After returning to cleanly after taking a break and yet again, I found myself disappointed in cleanly's service. Nahhh fuck off cleanly, imma go & support local laundry mats. And this time I mean it! Whoever is reading this review, You should too."
5.0,0.2191,As per previous reviews absolutely horrible customer service constantly escalating things. Who are you escalating it to? Please give me a number of someone I can talk to that can make a decision. Also where are my clothes? They lost my bag completely. Absolutely appalling.
0.0,0.2588,"This is the WORST DRYCLEANING SERVICE IN THE HISTORY OF DRYCLEANING. Every single time I've sent something out there's been a problem. My beautiful gowns that barely were worn and needed a basic DRYCLEANING/steam are destroyed by yellowing, discoloration, dye problems. Another time 2 of my husbands $500 Tom Ford shirts went missing. Their policy is to reimburse you 3x the cost of the DRYCLEANING-- that's like $15. So yourself a favor and stay far far away from this joke of a company."
1.0,0.2538,"Well I'm writing this now in hopes I'll get some kind of reply. They took my clothes two nights ago and I was supposed to receive them all yesterday morning (paid for the overnight fee) and waited an hour past the window. They told me there was an issue with my card and I said run it again, there's no issue. There's no response from them. You get an automated chat on the app with computer answers rather than an actual human. They have all of my workout clothes, work clothes and underwear. Which is really fun. I've used them before with no problems so I'm extremely upset. I would rather just go to this holding facility they claim to have my stuff at and go get my belongings back myself. Would like a phone call and resolution ASAP...I'll update if I hear anything."
1.0,0.2417,Cleanly lost $$$ thousands of dollars of designer clothes with zero help whatsoever in resolving the situation. No way of calling customer service and getting through to a human. All automated systems. No responsibility on their end. Their insurance doesn't even come close to the value of the garments that are missing. WORST SERVICE IN NYC. DO NOT USE THEM!!!!
