Dominant_Topic,Topic_Perc_Contrib,Text
1.0,0.2076,"I used this app for the first time last Friday and requested to pick up the next day. At first I was very worried of what would happen because I have always gone to the laundromat... well,1) this saves so much time!2) everything was folded so nice!3) everything felt super soft!4) everything never looked so good!The pricing was very reasonable. Why would other people complain about the price when your paying for convenience?This was my first time using it and I can't wait to send my laundry again in another week!It saves you sitting in the laundry for 2 hours and also saves money on detergent and it's delivered straight to your door!Download the app everyone! UPDATED REVIEW****Since my last review I have ordered it 3 times and they are still great! One day they picked this up at 8pm and it was back folded and clean in my hand at 8am the next day and I had a big heavy bag!Everyone should use this service! I no longer have to wait at the laundromat or even spend on detergent!"
5.0,0.161,"I've used them for a few years now. We have had our ups and downs.However starring 2019, What I have noticed is 1) The price point has gone up. Now its currently 1.60 a lbs, rather steep2) The minimum clean is 10 lbs3) They also offer alteration services nowBut along with the price increases, QUALITY has gone UPClothes are cleanerWhites are whiteMore appointment times availableWhats not to like?. If you like clean clothes that are cared for, on time deliveries and in general good service you should give them a try. I might give the dry cleaning services another shot. ( previously awful)"
1.0,0.254,"This app is great. I can schedule easily, if it's midnight and I realize I need to have my laundry done, I don't have to wait until the next morning to call and schedule--I just open the app. I have lived in NYC since 1998, and laundry is a constant hassle. This makes it so easy. And having early morning and later evening hours for drop off and pick-up works so well for my busy schedule. I don't have a doorman, so this is especially important for me. They sort lights and colors. When the laundry comes back folded- it's grouped by type. All my T-shirts are together, all my underwear and socks are together- and so on. That makes putting the clothes away all the more simple. I haaate doing laundry, and I hate shlepping big bags of laundry around the street to & from the laundry. It's kind of pricey. I pay it because the convenience is worth it to me and the service is good."
7.0,0.1403,"I've never had an issue with this company. I went from living in a place where I could do laundry in the building to living in a pre-war, non-laundry walk-up complex. I've tried places in the neighborhood and my laundry has returned to me soiled. I highly recommend Cleanly as the time frames match what I select, the person picking up my articles has always been friendly, and the customer service is great."
3.0,0.1884,"I've had good experiences with pickup and dropoff. Available times are typically convenient, even with less than 12 hours notice. With a variety of items (bedding, blankets, duvet covers, jeans, etc), I've received everything back fresh, folded, and even sorted. Pricing is about on par with other, similar services in the city. That being said, dry-clean prices are out of control. I'd recommend taking those items elsewhere.My only issues have been with customer service - when you need to reach out, responses can take longer than I think is appropriate given the nature of the service."
7.0,0.1326,They fulfilled every aspect of the services advertised. And did it very wellWe're impressed and will use them regularly
7.0,0.2056,"I've used Cleanly for more than a year and had mostly good experiences.  I've not had any issues with wash & fold and laundered shirts; no missing or damaged items during that time.  The only hiccup was the wrong laundry bag being returned but customer service was quick to resolve the issue.  App is pretty good but can be buggy on occasion.If there are issues, it is usually with pickup and delivery.  Scheduling pick ups, in particular, can be difficult if you don't plan a few days ahead as many morning time slots seems to book up fast, especially towards the end of the week.  They also recently reduced the number of pick up windows in the AM; previously you could pretty much select any hour between 630am to 10am.  Now, you can only choose between 630am and 730am or 730am and 930am.  2 hours is a large chunk of time to wait without knowing when they might arrive.  Deliveries are occasionally plagued with late drop offs but this seems less frequent recently.  All in all the convenience has outweighed any of the issues."
1.0,0.1574,"Cleanly is great - it is so much easier to have your laundry picked up and delivered door to door than lugging it a few blocks and spending hours in a laundromat every time you need to wash your sheets.I think their pricing for blankets and duvet covers is a little high, but their wash and fold pricing is reasonable and consistent with what you might pay at a regular laundromat. Cleanly has made y life a lot easier overall!"
1.0,0.2169,"App has a great UI and is very straight forward on ease of use. The laundry itself has come back in good condition, no complaints there. It's saved me a lot of time as even though I have a washer/dryer combo it takes forever to run a single load. My only issue is sometimes pickup has come 10-30 minutes earlier than the time listed and I may not be home which they seem to get annoyed with which is also annoying on my end as sometimes the windows selected are already 90 minutes wide.But overall though it's an easy to use service which saves me time, costs a fraction of that time I would have spent on laundry and has enabled me to do all my laundry in a quick turnaround. I travel a lot for work and the last thing I want to do when I get home from a trip is laundry, especially when I have to leave again in 48 hours."
0.0,0.1373,"I will probably never do my own laundry again! Cleanly is fantastic - prompt with pick ups and drop offs, items are nicely folded and arrive clean, fresh and smelling great. I am so pleased to get time back for other tasks!"
